No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,2,220uF,"C1,C15",CAP-SMD_BD6.3-L6.6-W6.6-LS7.0-FD,220uF,HV1E227M0607PZ,HONOR(荣誉),C5246541,LCSC
2,5,10uF,"C3,C26,C27,C32,C33",C0603,10uF,CL10A106MA8NRNC,SAMSUNG(三星),C96446,LCSC
3,1,1nF,C4,C0603,1nF,CC0603KRX7R0BB102,YAGEO(国巨),C106247,LCSC
4,7,100nF,"C5,C6,C8,C17,C18,C28,C29",C0603,100nF,0603B104K101NT,FH(风华),C88219,LCSC
5,2,1uF,"C16,C19",C0603,1uF,0603B105K500NT,FH(风华),C90540,LCSC
6,5,2.2uF,"C20,C21,C22,C24,C31",C0603,2.2uF,CL10A225KB8NNNC,SAMSUNG(三星),C913904,LCSC
7,1,470nF,C23,C0603,470nF,CL10B474KA8NNNC,SAMSUNG(三星),C1623,LCSC
8,1,100uF,C25,CAP-SMD_BD6.3-L6.5-W6.5-LS7.2-FD,100uF,KNM2100UF35V149EC0055,KNSCHA(科尼盛),C2982822,LCSC
9,4,Test-Point,"C,D,G,V",Test-Point-0.5mm,,,,,
10,2,WAFER-GH1.25-2PLB,"CN5,CN6",CONN-TH_2P-P1.25_XUNPU_WAFER-GH1.25-2PLB,,WAFER-GH1.25-2PLB,XUNPU(讯普),C3029368,LCSC
11,4,22uF,"CP7,CP8,CP9,CP10",C0805,22uF,CL21A226MAYNNNE,SAMSUNG(三星),C602037,LCSC
12,2,1N5819WS,"D3,D4",SOD-323_L1.8-W1.3-LS2.5-RD,,1N5819WS,Hottech(合科泰),C191023,LCSC
13,1,10uH,L2,IND-SMD_L2.5-W2.0,10uH,FTC252012S100MBCA,cjiang(长江微电),C5832376,LCSC
14,4,XL-1608UWC-04,"LED1,LED2,LED3,LED4",LED0603-RD_WHITE,,XL-1608UWC-04,XINGLIGHT(成兴光),c434421,LCSC
15,1,MDD3400,Q4,SOT-23-3_L2.9-W1.5-P1.90-LS2.6-BR,,MDD3400,MDD(辰达半导体),C427382,LCSC
16,2,HY1503C1,"Q5,Q6",DFN-8_L3.0-W3.0-P0.65-BL_VBQFXXXX,,HY1503C1,HUAYI(华羿微),C358109,LCSC
17,2,5mΩ,"R4,R21",R1206,5mΩ,FMF06FTHR005-LH,PSA(信昌电陶),C464975,LCSC
18,11,10kΩ,"R5,R6,R30,R31,R32,R33,R75,R78,R79,R81,R83",R0603,10kΩ,0603WAF1002T5E,UNI-ROYAL(厚声),C25804,LCSC
19,5,100kΩ,"R7,R20,R74,R77,R80",R0603,100kΩ,0603WAF1003T5E,UNI-ROYAL(厚声),C25803,LCSC
20,1,3Ω,R8,R0603,3Ω,RC0603FR-073RL,YAGEO(国巨),C137724,LCSC
21,4,200kΩ,"R11,R13,R76,R82",R0603,200kΩ,0603WAF2003T5E,UNI-ROYAL(厚声),C25811,LCSC
22,2,9.1kΩ,"R12,R29",R0603,9.1kΩ,0603WAF9101T5E,UNI-ROYAL(厚声),C23260,LCSC
23,1,10Ω,R26,R0603,10Ω,0603WAF100JT5E,UNI-ROYAL(厚声),C22859,LCSC
24,1,3.6kΩ,R27,R0603,3.6kΩ,0603WAF3601T5E,UNI-ROYAL(厚声),C22980,LCSC
25,1,18kΩ,R28,R0603,18kΩ,0603WAF1802T5E,UNI-ROYAL(厚声),C25810,LCSC
26,1,51Ω,R34,R0603,51Ω,0603WAF510JT5E,UNI-ROYAL(厚声),C23197,LCSC
27,1,200Ω,R72,R0603,200Ω,0603WAF2000T5E,UNI-ROYAL(厚声),C8218,LCSC
28,1,3mΩ,RCS1,RES-SMD_L6.4-W3.2-A,3mΩ,LRBN25GFER003S,NCT(利昇达),C5121073,LCSC
29,1,50mΩ,Rs1,RES-SMD_L6.4-W3.2-R2512,50mΩ,HoJLR2512-3W-50mR-1%,Milliohm(毫欧),C2903475,LCSC
30,1,TS36XL-3.5 180gf 072,SW1,SW-TH_SHOU-HAN_TS36XL-3.5,,TS36XL-3.5 180gf 072,SHOU HAN(首韩),C2859426,LCSC
31,1,FP7209mR-G1,U1,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL-EP,,FP7209mR-G1,Advanced Analog Technology(类比),C2762848,LCSC
32,2,4.7uH,"U3,U10",IND-SMD_L13.5-W12.8,4.7uH,CXP1250-4R7M-HG(4.7uh),DMBJ(振宝佳),C5273816,LCSC
33,1,AONS36306,U4,PG-TDSON-8_L5.9-W5.2-P1.27-LS6.2-BL-EP,,AONS36306,AOS,C3277800,LCSC
34,1,IP2369,U11,QFN-7*7-60-5,,,,,
35,1,LGS6302B5,U12,SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BL,,LGS6302B5,Legend-Si(棱晶半导体),C5123975,LCSC
36,1,PY32F003F16U6TR,U13,QFN-20_L3.0-W3.0-P0.40-BL-EP1.7,,PY32F003F16U6TR,PUYA(普冉),C3018714,LCSC
37,1,HT7333,U15,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,,HT7333,国芯佳品,C2684634,LCSC
38,1,ST2045,U16,TO-277_3P-L5.4-W4.0-LS6.5-BR,,ST2045,HXY MOSFET(华轩阳电子),C20611945,LCSC
39,1,TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,,TYPE-C 16PIN 2MD(073),SHOU HAN(首韩),C2765186,LCSC
