Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
Q4,MDD3400,SOT-23-3_L2.9-W1.5-P1.90-LS2.6-BR,33.02mm,-20.447mm,33.02mm,-20.447mm,33.97mm,-19.197mm,3,T,90,Yes,MDD3400,MDD3400
U13,PY32F003F16U6TR,QFN-20_L3.0-W3.0-P0.40-BL-EP1.7,31.242mm,-33.655mm,31.242mm,-33.655mm,32.042mm,-32.248mm,21,T,180,Yes,PY32F003F16U6TR,PY32F003F16U6TR
R76,0603WAF2003T5E,R0603,34.036mm,-28.829mm,34.036mm,-28.829mm,34.789mm,-28.829mm,2,T,180,Yes,200kΩ,200kΩ
R20,0603WAF1003T5E,R0603,36.957mm,-28.702mm,36.957mm,-28.702mm,36.204mm,-28.702mm,2,T,0,Yes,100kΩ,100kΩ
R77,0603WAF1003T5E,R0603,34.036mm,-30.099mm,34.036mm,-30.099mm,33.283mm,-30.099mm,2,T,0,Yes,100kΩ,100kΩ
R81,0603WAF1002T5E,R0603,25.019mm,-30.226mm,25.019mm,-30.226mm,25.772mm,-30.226mm,2,T,180,Yes,10kΩ,10kΩ
CN6,WAFER-GH1.25-2PLB,CONN-TH_2P-P1.25_XUNPU_WAFER-GH1.25-2PLB,37.637mm,-14.637mm,37.637mm,-14.637mm,35.962mm,-15.262mm,4,T,90,Yes,WAFER-GH1.25-2PLB,WAFER-GH1.25-2PLB
RCS1,LRBN25GFER003S,RES-SMD_L6.4-W3.2-A,45.466mm,-25.654mm,45.466mm,-25.654mm,42.916mm,-25.654mm,2,T,0,Yes,3mΩ,3mΩ
L2,FTC252012S100MBCA,IND-SMD_L2.5-W2.0,38.481mm,-19.685mm,38.481mm,-19.685mm,37.453mm,-19.685mm,2,T,180,Yes,10uH,10uH
R83,0603WAF1002T5E,R0603,30.906mm,-25.489mm,30.906mm,-25.489mm,30.153mm,-25.489mm,2,T,0,Yes,10kΩ,10kΩ
D3,1N5819WS_C191023,SOD-323_L1.8-W1.3-LS2.5-RD,31.496mm,-23.876mm,31.496mm,-23.876mm,30.323mm,-23.876mm,2,T,0,Yes,1N5819WS,1N5819WS
D4,1N5819WS_C191023,SOD-323_L1.8-W1.3-LS2.5-RD,35.814mm,-19.939mm,35.814mm,-19.939mm,35.814mm,-21.112mm,2,T,90,Yes,1N5819WS,1N5819WS
R13,0603WAF2003T5E,R0603,48.641mm,-32.131mm,48.641mm,-32.131mm,49.394mm,-32.131mm,2,T,180,Yes,200kΩ,200kΩ
C6,0603B104K101NT,C0603,48.641mm,-30.607mm,48.641mm,-30.607mm,47.941mm,-30.607mm,2,T,0,Yes,100nF,100nF
C31,CL10A225KB8NNNC,C0603,30.988mm,-22.225mm,30.988mm,-22.225mm,30.288mm,-22.225mm,2,T,0,Yes,2.2uF,2.2uF
C15,HV1E227M0607PZ,CAP-SMD_BD6.3-L6.6-W6.6-LS7.0-FD,53.848mm,-33.401mm,53.848mm,-33.401mm,56.418mm,-33.401mm,2,T,180,Yes,220uF,220uF
Rs1,HoJLR2512-3W-50mR-1%,RES-SMD_L6.4-W3.2-R2512,50.927mm,-38.989mm,50.927mm,-38.989mm,47.861mm,-38.989mm,2,T,0,Yes,50mΩ,50mΩ
R11,0603WAF2003T5E,R0603,36.957mm,-36.068mm,36.957mm,-36.068mm,36.204mm,-36.068mm,2,T,0,Yes,200kΩ,200kΩ
R12,0603WAF9101T5E,R0603,36.957mm,-34.544mm,36.957mm,-34.544mm,37.71mm,-34.544mm,2,T,180,Yes,9.1kΩ,9.1kΩ
C8,0603B104K101NT,C0603,59.817mm,-33.655mm,59.817mm,-33.655mm,59.817mm,-34.355mm,2,T,90,Yes,100nF,100nF
C26,CL10A106MA8NRNC,C0603,28.067mm,-28.702mm,28.067mm,-28.702mm,28.767mm,-28.702mm,2,T,180,Yes,10uF,10uF
U15,HT7333,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,31.496mm,-27.686mm,31.496mm,-27.686mm,30.261mm,-26.736mm,3,T,180,Yes,HT7333,HT7333
R74,0603WAF1003T5E,R0603,34.925mm,-25.527mm,34.925mm,-25.527mm,35.678mm,-25.527mm,2,T,180,Yes,100kΩ,100kΩ
R75,0603WAF1002T5E,R0603,37.973mm,-25.527mm,37.973mm,-25.527mm,38.726mm,-25.527mm,2,T,180,Yes,10kΩ,10kΩ
C3,CL10A106MA8NRNC,C0603,37.973mm,-27.051mm,37.973mm,-27.051mm,37.273mm,-27.051mm,2,T,0,Yes,10uF,10uF
C27,CL10A106MA8NRNC,C0603,34.925mm,-27.051mm,34.925mm,-27.051mm,34.225mm,-27.051mm,2,T,0,Yes,10uF,10uF
U3,CXP1250-4R7M-HG(4.7uh),IND-SMD_L13.5-W12.8,56.896mm,-17.907mm,56.896mm,-17.907mm,51.268mm,-17.907mm,2,T,180,Yes,4.7uH,4.7uH
U4,AONS36306,PG-TDSON-8_L5.9-W5.2-P1.27-LS6.2-BL-EP,53.992mm,-27.129mm,53.992mm,-27.129mm,51.127mm,-25.224mm,9,T,270,Yes,AONS36306,AONS36306
R8,RC0603FR-073RL,R0603,48.641mm,-28.956mm,48.641mm,-28.956mm,47.888mm,-28.956mm,2,T,0,Yes,3Ω,3Ω
C1,HV1E227M0607PZ,CAP-SMD_BD6.3-L6.6-W6.6-LS7.0-FD,45.085mm,-20.066mm,45.085mm,-20.066mm,47.655mm,-20.066mm,2,T,180,Yes,220uF,220uF
